,中文,英文,日文
Title,文化堂硫磺噴氣口,The Sulfur’s Mouth,文化堂硫黄噴き出し口
Content,"在文化堂這裡最能感受中山樓的味道。因為這裡是中山樓硫磺味道最濃的地方！中山樓建築最大的特色就是建在硫磺坑口上面！ 

對於硫磺坑有點經驗的人知道，晴天不容易看見硫磺蒸氣。一旦下了雨、雨水滲入地底後，水分就會被地熱加熱變成蒸氣。沿著岩石的裂縫，蒸氣噴出地表、就形成一道一道的噴氣口。如果噴氣口旁邊有硫磺礦，就很容易凝結成您眼前看到的這些美麗的黃色硫磺結晶、形成一簇一簇的「磺花」。

請您往舞臺上看 ! 硫磺坑口的正確位置就是在主席臺這裡。您不妨踩一踩這裡的地板，到現在仍然被硫磺氣沖得凹凹凸凸呢。目前硫磺氣的濃度與溫度都在修澤蘭巧妙的安排設計下，運用 19根導管將熱騰騰的蒸氣引出戶外。這裡現在不僅溫度明顯下降，硫磺濃度也只剩原來的 5% 而已。
","Remember the most characteristic part of Chungshan Hall is its being built upon the sulfur pit mouth. The sulfur steam is better seen on rainy days. When it rains, heated water will transform into steam, roaming along the cracks of rocks, then ejects from the surface, forming strings of steaming outlets. It ends up emerging a bunch and a bunch of “sulfur flowers”—sulfur crystal. 

Please look above the stage. The floor has been unevenly crushed by sulfur steam. Hsu Ze-lan already placed 19 transmission tubes to lead the sulfur to outdoors. Here, the temperature is apparently lower than elsewhere; the thickness of sulfur is also reduced to 5% only.","　文化堂は中山楼の中で最も中山楼らしいところです。それはここが中山楼の中で硫黄が最も強く匂うところだからです。中山楼の建築上最大の特徴は何と言っても硫黄の噴き出し口の上に建っているところですから。
　硫黄の噴き出し口を見たことがある方はご存知かもしれませんが、硫黄の蒸気は晴れた日にはよく見えません。一度雨が降って雨水が地下にしみ込むと、水分は地熱によって加熱されて蒸気へ変わります。岩石の亀裂に沿って蒸気は地表へと噴き出し、噴気孔を形成します。もし噴気孔のそばに硫黄の鉱脈があれば、ご覧になっているような美しい黄色の硫黄の結晶を形成します。
　舞台をご覧ください、硫黄の噴き出し口の正確な位置は議長席です。議長席に近づくと、硫黄の気体が激しくぶつかっているのがわかります。硫黄を大量に吸い込むと中毒を起こしますが、心配なさらないでください。現在、硫黄濃度と気体温度については、19本の導管を使用して高温の蒸気を外部に排出しており、温度も硫黄濃度も安全な範囲にまで下がっています。
"
Image01,"00:00:00,00",,
Image02,"00:00:06,00",,
Image03,"00:00:10,00",,
Image04,"00:00:23,00",,
Image05,"00:00:38,00",,
Image06,"00:00:43,00",,
Image07,"00:00:51,00",,
Image08,"00:01:07,00",,
