,中文,英文,日文
Title,曾后希《子貢連騎》圖,Tseng Ho-si’s Zi Gong Riding Horses,曽后希「子貢連騎」図
Content,"看到圖畫中央的四匹馬，真是讓人感到惋惜 ! 因為硫磺氣將「白馬」薰成了「青馬」! 這件《子貢連騎圖》是畫家曾后希所精心繪製而成的。
    子貢賢達敏辯，是孔子的得意門生。他善於雄辯，以言語聞名。辦事通達，家累千金，是一位非常成功的商人。由於他優異的外交長才，還榮任魯國及衛國的宰相。成為當時政治、經濟領域的重要人物。他尊師重道，使孔子之名揚於天下，進而發揚孔子的學說！
    根據《史記．貨殖列傳》記載 ﹕「子貢結駟連騎，束帛之幣以聘享諸侯，所至，國君無不分與之抗禮。」看見左上角的落款寫著「子貢連騎」，曾后希畫下了子貢出使外交，車馬隨從眾多的氣派場面。不但色彩的搭配精彩，高超的烘染技巧、更是表現得無懈可擊！仔細觀賞每匹馬的姿態都逼真 ! 每個姿態都訴說著馬兒獨特的性格。駟馬並轡的車馬，加上旗幟飄揚的畫面，是不是感覺更加生動靈活 !
","It is a pity that in the center of this painting, as a result of sulfur fumes, the four white horses now have a blue hue. This painting, Zi Gong Riding Horses, was meticulously drawn by Tseng Ho-si. 

    Zi Gong, wise and very persuasive, was a famous disciple of Confucius. He not only exceled at speaking and eloquence, but also demonstrated great business and political acumen; hence, he was both a diplomat and an affluent businessman. As a result of his diplomatic ability, he was honored with the position of prime minister of both Lu State and Wei State, making him truly prominent in the world of politics and business. More importantly, Zi Gong was so grateful to Master Confucius that he spread Confucius’ philosophy to the entire world. 

According to “Biographies of Merchants,” by Shi Ji, the wagon Zi Gong was driving was loaded with a great amount of treasure and coins. Therefore, his wealth could compete with that of rich monarchs. Inscribed with the phrase “Zi Gong Riding Horses” in the upper left corner, this picture impeccably presents a moment in time when Zi Gong was carrying out a diplomatic mission with an accompaniment of grandiose wagons and ranks of attendants. In this picture, all the colors are ingeniously applied utilizing professional baking-dying techniques to make every horse look vividly full of life. Ultimately, what really brings the whole picture to life is the carriage with blowing flags, vivifying the entire episode.
","作品中央の四匹の馬は、見る者を惜しい気持ちにさせます。それは硫黄が「白馬」を「青馬」にしてしまったからです。この「子貢連騎図」は画家曽后希が丹精込めて描いたものです。
  賢く弁が立つ子貢は孔子の自慢の弟子でした。彼はその熱弁と言葉の巧みさによって知られていました。人の心をつかむ仕事をしたので、多くの財を成す大変成功した商人でした。彼はまた他国との交渉にとても長けていたので、魯国と衛国の宰相にもなりました。子貢は政治・経済における重要な人物となったのです。彼は師を尊び、道を重んじて孔子の名を天下に広め、孔子の教えを盛んにしました。
　『史記．貨殖列伝』によれば、「子貢は多くの人と馬を従え、織物と物品によって諸侯と交流した。そのため、諸国の君主は大いにこれをもてなした」とあります。左上の落款には「子貢連騎」と書いてありますが、この作品は子貢が諸国へ交渉に向かうところを曽后希が描いたものであり、多くの車馬が付き従う勢いある場面となっています。色使いの組み合わせが素晴らしいだけでなく、場面を引き立たせる大変優れた技術は、作品全体をまったく隙のないものにしています。すべての馬の様子はまるで生きているようであり、それぞれの姿勢は馬たちの個性を表現しています。四頭の馬が轡を並べている車馬、それに加えて旗がたなびく絵柄は、更に生き生きとした印象を与えます。
"
Image01,"00:00:00,00",,
Image02,"00:00:05,00",,
Image03,"00:00:17,30",,
Image04,"00:00:51,50",,
Image05,"00:01:10,60",,
Image06,"00:01:17,60",,
Image07,"00:01:25,30",,
Image08,"00:01:33,50",,
