,中文,英文,日文
Title,季康《仕女屏風》圖,Ji Kang’s The Lady Screen,季康「仕女屏風」図
Content,"這座位於中央的<仕女屏風>，是出自於名畫家季康先生所繪製的。 屏風上一共有16位美麗佳人。張大千曾以「眼中恨少奇男子、腕底偏多美婦人」來讚美季康繪畫仕女的功力。憑著卓越的功力及技巧，他筆下的美女清麗雅緻，皮膚細膩白凈，隱隱透露一種婉約迷人的韻味。 

他藉由宋代的筆意，加上不同的季節與扮相。又將樂器、團扇植入古裝人物的造型裝扮。這些搭配，讓仕女的體態越發溫柔脫俗。尤其中央這位手托蟠桃、爵杯的仕女，以靈芝作為裝飾點綴，營造出一種「祝壽」與「仙界」的感覺。

由於這個屏風很大，季康上段畫人物仕女。中段、下段則加入四季花卉等植物陪襯。尤其下段最有創意。看見他將故宮常見的骨董器物都加入了屏風，就連「鰲魚花插」、「翠玉白菜」也入了鏡頭。
","In the center of the Reception Room, the Lady Screen is drawn by Ji Kang.  In this painting, there are sixteen ladies. Chang Dai-chien once used “Pity is that there are few dandies; envy is that there are plenty of belles” to celebrate the achievement of Ji Kang’s ladies. In his paintings, ladies all look gentle and pure, with white, sophisticated skin. Their eyes linger; their figures slightly tremble—inspiring an enchanting mood and unconsciously motivating an affectionate heart.

This screen is quite big, Ji Kang draws ladies in the upper section, while in the middle and down sections, he adds seasonal flowers and plants. The down section offers lots of creativity, such as antiques, chrysanthemum longevity and evergreen pine trees, and so forth.","  中央に位置するこの「仕女屏風」は、季康が描いたものです。

  屏風には全部で16人の美女が描かれています。張大千は「彼の目の中に優れた男性はほとんどおらず、美しい婦人を描く腕前こそ彼の本分だ」として季康の女性を描く技術を称えています。卓越した能力と技術によって描かれた美女は優美で品があります。そしてその肌はきめ細やかで白く、人を夢中にさせる味わいを持っています。

  彼は宋代の技法を用いながらも、そこに異なる季節と姿を加え、更に楽器やウチワなどを昔の人々の装いの中に取り入れました。これらの組み合わせは美女たちの姿に更なる優しさと品を持たせています。特に手に桃を載せて杯を持つ中央の女性は、霊芝をアクセントとして使い、めでたい雰囲気をかもし出しています。

  この屏風は大変大きいため、季康は上段において女性を描き、中段、下段には四季の花などの植物を加えて引き立てています。特に下段は最も創意に溢れています。彼は故宮で展示されている著名な美術品をすべて屏風に書き加えており、日本でも有名な「ヒスイの白菜」もその中に入っています。"
Image01,"00:00:00,00",,
Image02,"00:00:12,00",,
Image03,"00:00:23,00",,
Image04,"00:00:36,00",,
Image05,"00:00:52,10",,
Image06,"00:01:11,20",,
Image07,"00:01:16,00",,
Image08,"00:01:24,00",,
