,中文,英文,日文
Title,陽明山中山樓建築模型,The Architectural Model of Chungshan Hall,中山楼の模型
Content,"穿廊這17件珍貴的建築模型是民國97年(2008)＜中山樓落成啟用40週年＞所精心規劃的＜國父史蹟建築模型特展＞活動的展品。由於中山樓當時隸屬國父紀念館管轄，為了這個特殊的紀念活動，特別將這些生日禮物從山下送到山上來，保留至今也成了本館的一項特色展示品。

眼前這座＜中山樓的建築模型＞維妙逼真，相似度近百分之百。如此精妙的手法出自於名雕塑家林木川先生。您可以欣賞其他由10多個大陸友館贈送給臺灣的珍貴建築模型。其中還有一些關於這些模型的來龍去脈，您可以藉由牆上的＜展示說明＞與＜模型介紹＞得到更多正確的資訊。
","In the corridor, there are 17 valuable architectural models. They belong to the Exhibition of Architectural Models of the Founding Father’s Footsteps (2008), an event that celebrated 40th anniversary of Chungshan Hall. 

The Architectural Model of Chungshan Hall appears very close to its original, almost 100% identical. It was made by Mr. Lin Mu-chuan, specialized in sculpture. 

You probably would agree that Mr. Lin really did great! In addition, there are more than ten models from Mainland China. It is easy to get more information by reading descriptions on the wall.","この廊下にある17の建築模型は2008年に中山楼落成四十周年を迎えた際に開催された「国父史跡建築模型展」の展示品です。これらの模型は中山楼落成四十周年を記念して、当時の管理機関であった国父記念館から中山楼へ運ばれたものであり、現在では中山楼の特徴的展示の一つとなっています。
  ご覧になっている中山楼の模型は大変リアルで、ほぼ同じものになっています。この模型は著名な彫刻家林木川の手によるものです。"
Image01,"00:00:00,00",,
Image02,"00:00:15,50",,
Image03,"00:00:23,02",,
Image04,"00:00:28,40",,
Image05,"00:00:34,00",,
Image06,"00:00:41,70",,
Image07,"00:00:48,00",,
Image08,"00:00:55,10",,
Image09,"00:00:59,50",,
