,中文,英文,日文
Title,八位名家合繪玻璃畫屏,A Glass Screen Coordinated by Eight Masters,八人の大家の絵によるガラス屏風
Content,"位於西廂房內陳列的這座玻璃畫屏風，是集結了馬壽華、劉延濤、邵幼軒、張穀年、季康、傅狷夫、江兆申、陳丹誠……等八位畫家們合作完成。這些畫屏風是在中華民國55年(1966) 10月由新竹玻璃公司負責監製完成的玻璃工藝。
    
屏風的題材內容，主要是為了紀念蔣中正總統80歲華誕的祝賀壽禮。

最左與最右的第一張分別是由陳丹誠所繪製的〈湖石梅開〉與馬壽華所繪製的〈松竹梅〉，右邊第二張為劉延濤的〈山水圖〉，第三張邵幼軒的〈牡丹綬帶〉，圖畫裡的牡丹象徵富貴，綬帶鳥則增福添壽。其他的如季康的〈麻姑獻壽〉、傅狷夫的〈松柏長青〉八百長齡以及張穀年、江兆申所畫的風景畫裡，都暗示著桃花仙境的意思。在這些洋溢著祥瑞之氣的繪畫裡，也表現了八位畫家文人書畫藝術與生活結合的極致美學。

","The glass picture screens in the west wing room are composed by eight masters of art. Ma Shou-hua, Liu Yen-tao, Shaw Yo-hsuan, Chang Gu-nien, Ji Kang, Fu Juan-fu, Jiang Zhao-sheng, Chen Dan-cheng. This is a president of Hsin-chu Glass Company for President Chiang Kai-shek’s eighty-year-old birthday in Oct., 1966.

All the objects represent longevity and good wishes.","　このガラス製の屏風は、馬寿華、劉延濤、邵幼軒、張穀年、季康、傅狷夫、江兆申、陳丹誠など八名の画家の合作によって制作されたものです。この屏風は1966年10月、新竹ガラスが制作したものです。
　この屏風は蒋介石総統の八十歳の誕生日を祝うために制作されたものです。
　左右両端の一枚目はそれぞれ陳丹誠と馬寿華が描いた作品です。右から二番目は劉延濤の作品です。右から三番目の作品は邵幼軒の作品ですが、この作品には牡丹と「ヒタキ」という鳥が描かれています。牡丹とヒタキは福をもたらすという意味があります。
　その他の季康・傅狷夫・張穀年・江兆申の四人の作品も、蒋介石総統の誕生日と長寿を願う内容となっています。
"
Image01,"00:00:00,00",,
Image02,"00:00:06,00",,
Image03,"00:00:31,00",,
Image04,"00:00:40,00",,
Image05,"00:00:47,00",,
Image06,"00:00:52,00",,
Image07,"00:00:56,00",,
Image08,"00:01:06,00",,
Image09,"00:01:10,00",,
Image10,"00:01:15,00",,
Image11,"00:01:22,00",,
